date,b_u_y,n_a_m_e___D_e_a_l_e_r___H_e_d_g_i_n_g,n_a_m_e___D_e_a_l_e_r___s_e_l_f,n_a_m_e___F_o_r_e_i_g_n___D_e_a_l_e_r___S_e_l_f,n_a_m_e___F_o_r_e_i_g_n___I_n_v_e_s_t_o_r,n_a_m_e___I_n_v_e_s_t_m_e_n_t___T_r_u_s_t,s_e_l_l,RecentlyDeclareDate,Trading_Volume_shifted,Trading_money_shifted,open_shifted,max_shifted,min_shifted,close_shifted,spread_shifted,Trading_turnover_shifted,MACD_shifted,Signal Line_shifted,MACD Histogram_shifted,ADX_shifted,+DI_shifted,-DI_shifted,%K_shifted,%D_shifted,RSI_shifted,Bias_shifted,MarginPurchaseBuy_shifted,MarginPurchaseCashRepayment_shifted,MarginPurchaseLimit_shifted,MarginPurchaseSell_shifted,MarginPurchaseTodayBalance_shifted,MarginPurchaseYesterdayBalance_shifted,OffsetLoanAndShort_shifted,ShortSaleBuy_shifted,ShortSaleCashRepayment_shifted,ShortSaleLimit_shifted,ShortSaleSell_shifted,ShortSaleTodayBalance_shifted,ShortSaleYesterdayBalance_shifted,ForeignInvestmentRemainingShares_shifted,ForeignInvestmentShares_shifted,ForeignInvestmentRemainRatio_shifted,ForeignInvestmentSharesRatio_shifted,NumberOfSharesIssued_shifted,people_0_shifted,people_500_shifted,people_2500_shifted,people_7500_shifted,people_12500_shifted,people_17500_shifted,people_25000_shifted,people_35000_shifted,people_45000_shifted,people_75000_shifted,people_150000_shifted,people_300000_shifted,people_500000_shifted,people_700000_shifted,people_900000_shifted,percent_0_shifted,percent_500_shifted,percent_2500_shifted,percent_7500_shifted,percent_12500_shifted,percent_17500_shifted,percent_25000_shifted,percent_35000_shifted,percent_45000_shifted,percent_75000_shifted,percent_150000_shifted,percent_300000_shifted,percent_500000_shifted,percent_700000_shifted,percent_900000_shifted,unit_0_shifted,unit_500_shifted,unit_2500_shifted,unit_7500_shifted,unit_12500_shifted,unit_17500_shifted,unit_25000_shifted,unit_35000_shifted,unit_45000_shifted,unit_75000_shifted,unit_150000_shifted,unit_300000_shifted,unit_500000_shifted,unit_700000_shifted,unit_900000_shifted,Returns
2022-04-29,0,0.0,0.0,1.0,0.0,0.0,0,2022-03-10,35567672.0,19849449551.0,558.0,559.0,557.0,558.0,-7.0,81550.0,-8.157328519861721,-8.176782777718113,0.019454257856391877,25.57774918362293,20.30320268369715,40.3203248951695,26.072072072071904,27.357357357357227,39.454010773454925,-2.964959568733146,697.0,11.0,6482941.0,774.0,34937.0,35025.0,2.0,40.0,0.0,6482941.0,22.0,134.0,152.0,7011462057.0,18920305401.0,27.03,72.96,25931767458.0,1282475.0,784492.0,410196.0,44884.0,14853.0,7046.0,6701.0,3184.0,1893.0,3648.0,1842.0,1203.0,500.0,304.0,210.0,100.0,0.5,2.97,1.25,0.7,0.48,0.63,0.42,0.32,0.98,0.98,1.29,0.94,0.81,0.72,25931767458.0,129872258.0,770336753.0,326307061.0,183521563.0,125034880.0,164581551.0,110896875.0,85399090.0,255964337.0,256203452.0,336989712.0,244029453.0,211827767.0,188912305.0,-0.007142887512380114
2022-05-06,0,0.0,0.0,1.0,0.0,0.0,0,2022-03-10,39960198.0,21586196160.0,547.0,547.0,535.0,538.0,7.0,41498.0,-13.301851362223942,-10.756616936590202,-2.5452344256337405,31.527291824644685,22.695180269504394,43.940294244399006,13.939393939393767,7.896613190730707,36.21403079538562,-4.159615213325024,741.0,21.0,6482941.0,1070.0,34655.0,35005.0,2.0,21.0,30.0,6482941.0,29.0,160.0,182.0,7089270583.0,18842496875.0,27.33,72.66,25931767458.0,0.0,812440.0,426470.0,46663.0,15309.0,7280.0,6799.0,3211.0,1931.0,3681.0,1839.0,1220.0,492.0,306.0,202.0,-0.0,0.53,3.1,1.3,0.72,0.49,0.64,0.43,0.33,0.99,0.98,1.32,0.92,0.82,0.7,-18000.0,138972743.0,804866558.0,339066223.0,189249588.0,129082318.0,167253778.0,111764925.0,87054840.0,257803006.0,255229572.0,342616900.0,239716034.0,212813494.0,182088223.0,-0.03650040221952653
2022-05-13,0,0.0,0.0,1.0,0.0,0.0,0,2022-03-10,34512038.0,18241210653.0,528.0,531.0,526.0,528.0,-14.0,66208.0,-13.41833948275837,-12.368318707064459,-1.0500207756939108,31.793978388519182,21.09258249720329,43.75691074668771,23.33333333333316,22.882996632996498,35.53841793611949,-4.278462654097176,817.0,41.0,6482941.0,1488.0,33652.0,34364.0,4.0,59.0,0.0,6482941.0,15.0,159.0,203.0,7103483741.0,18828283717.0,27.39,72.6,25931767458.0,0.0,814887.0,425935.0,46671.0,15321.0,7256.0,6826.0,3201.0,1920.0,3679.0,1853.0,1213.0,496.0,299.0,204.0,-0.0,0.53,3.1,1.3,0.73,0.49,0.64,0.42,0.33,0.99,0.99,1.31,0.93,0.8,0.7,-3000.0,139693822.0,804156238.0,339138187.0,189437839.0,128638260.0,167825045.0,111365339.0,86579061.0,257275938.0,257507193.0,340828910.0,241774427.0,208611800.0,183634687.0,-0.01876227645552289
2022-05-20,0,0.0,0.0,1.0,0.0,0.0,0,2022-05-19,30204773.0,15412261905.0,507.0,514.0,506.0,511.0,6.0,37707.0,-16.23274565073484,-14.43173835069076,-1.8010073000440823,35.28992421925859,18.32558132696767,48.47421152125025,12.336127229744081,13.876352174224381,33.19672009619531,-5.186009833936366,898.0,34.0,6482941.0,444.0,34584.0,34164.0,7.0,34.0,0.0,6482941.0,106.0,260.0,188.0,7141441345.0,18790326113.0,27.53,72.46,25931767458.0,0.0,825895.0,432991.0,47493.0,15514.0,7321.0,6938.0,3222.0,1927.0,3701.0,1856.0,1219.0,496.0,302.0,196.0,-0.0,0.55,3.15,1.33,0.73,0.5,0.65,0.43,0.33,0.99,0.99,1.31,0.93,0.81,0.68,-9702.0,143106956.0,819283895.0,345289840.0,191893658.0,129786958.0,170613162.0,112150730.0,86891740.0,258976599.0,258153021.0,341915317.0,241191755.0,211021177.0,176630530.0,-0.03272669350255707
2022-05-27,0,0.0,0.0,1.0,0.0,0.0,0,2022-05-23,26111163.0,13784969436.0,524.0,532.0,523.0,530.0,8.0,21767.0,-10.458795457463452,-12.909016323858632,2.4502208663951794,30.534983737033674,28.339562003605085,39.66278255760685,61.05006105006089,59.15839394100251,45.986247658963414,0.03775009437524452,789.0,32.0,6482941.0,1019.0,33639.0,33901.0,9.0,25.0,1.0,6482941.0,60.0,356.0,322.0,7141125067.0,18790642391.0,27.53,72.46,25931767458.0,0.0,826659.0,432495.0,47431.0,15520.0,7345.0,6913.0,3226.0,1922.0,3707.0,1855.0,1203.0,494.0,304.0,204.0,-0.0,0.55,3.15,1.32,0.74,0.5,0.65,0.43,0.33,1.0,0.99,1.3,0.92,0.81,0.7,-20700.0,143477359.0,817955930.0,344834226.0,191999343.0,130251897.0,170134956.0,112317937.0,86745551.0,259714360.0,258657000.0,338000812.0,239579106.0,211698233.0,183951201.0,0.036507416342463135
2022-06-02,15509220,0.0,0.0,0.0,1.0,0.0,18576569,2022-05-23,30113220.0,15855257581.0,524.0,530.0,522.0,530.0,16.0,28711.0,-8.12879780261926,-10.256840944377766,2.1280431417585053,27.52725741370271,23.86268965506352,35.78815437569483,49.074074074073906,45.963912630579166,48.21855239492901,0.9139375476009052,417.0,36.0,6482941.0,1202.0,32961.0,33782.0,4.0,49.0,0.0,6482941.0,74.0,294.0,269.0,7157433520.0,18772946938.0,27.6,72.39,25930380458.0,1354807.0,829048.0,433758.0,47705.0,15555.0,7338.0,6965.0,3229.0,1929.0,3700.0,1869.0,1195.0,491.0,302.0,210.0,100.0,0.55,3.16,1.33,0.74,0.5,0.66,0.43,0.33,0.99,1.0,1.29,0.91,0.81,0.73,25930380458.0,144335876.0,820665162.0,346803002.0,192420683.0,130074804.0,171311510.0,112375672.0,87059515.0,259072730.0,260606654.0,335446565.0,238011036.0,210329701.0,189353034.0,0.0
2022-06-10,0,0.0,0.0,1.0,0.0,0.0,0,2022-05-23,26063495.0,14122936388.0,544.0,545.0,540.0,540.0,-9.0,30042.0,-0.917180526056427,-5.555554973165252,4.638374447108825,22.105384030786407,31.305146786819872,29.757080438225053,79.02547938008914,87.35005691270453,50.96094557697296,2.3211747986736144,1074.0,38.0,6482941.0,331.0,31615.0,30910.0,3.0,78.0,10.0,6482941.0,12.0,297.0,373.0,7140041831.0,18790338627.0,27.53,72.46,25930380458.0,0.0,821803.0,426979.0,47080.0,15416.0,7254.0,6902.0,3210.0,1910.0,3691.0,1871.0,1194.0,486.0,307.0,205.0,-0.0,0.55,3.11,1.31,0.73,0.49,0.65,0.43,0.33,0.99,1.0,1.29,0.9,0.82,0.71,-1749.0,143030593.0,807364085.0,342206088.0,190671653.0,128641657.0,169750416.0,111616426.0,86216391.0,258220249.0,260688257.0,335790955.0,235418800.0,213976603.0,184601459.0,0.018692133012152546
2022-06-17,18142050,0.0,0.0,0.0,1.0,0.0,35260229,2022-05-23,22614596.0,12011615014.0,530.0,533.0,529.0,530.0,-11.0,44802.0,-0.44546290145831335,-1.9910228223661721,1.5455599209078588,16.3432536949119,27.53483177084202,32.27754206974516,53.900709219857994,56.028368794326106,46.42103338731864,-0.497512437810941,1043.0,19.0,6482595.0,264.0,32229.0,31469.0,0.0,136.0,0.0,6482595.0,0.0,0.0,136.0,7183337534.0,18747042924.0,27.7,72.29,25930380458.0,1342930.0,823048.0,428595.0,47271.0,15425.0,7265.0,6926.0,3226.0,1911.0,3694.0,1866.0,1189.0,484.0,303.0,210.0,100.0,0.55,3.12,1.32,0.73,0.49,0.65,0.43,0.33,0.99,1.0,1.29,0.9,0.81,0.72,25930380458.0,143406303.0,810482605.0,343589213.0,190820844.0,128827358.0,170300120.0,112143235.0,86239982.0,258300416.0,259819794.0,335181564.0,235289241.0,211041331.0,188595753.0,-0.01869213301215252
2022-06-24,13661166,0.0,0.0,0.0,1.0,0.0,15958958,2022-05-23,48400798.0,24260277915.0,499.5,503.0,499.0,501.0,-7.0,119618.0,-7.601618992228282,-4.3489922696790035,-3.2526267225492784,19.53186918832007,20.39752976675034,39.88729870805225,2.97968862769341,5.266390700510768,35.642463241837774,-5.284053313167604,1256.0,17.0,6482595.0,1249.0,34415.0,34425.0,49.0,35.0,0.0,6482595.0,63.0,130.0,102.0,7250908090.0,18679472368.0,27.96,72.03,25930380458.0,1371252.0,834776.0,443008.0,48657.0,15778.0,7431.0,7074.0,3291.0,1949.0,3722.0,1871.0,1191.0,483.0,301.0,211.0,100.0,0.56,3.23,1.36,0.75,0.5,0.67,0.44,0.33,1.0,1.0,1.29,0.9,0.8,0.73,25930380458.0,147044328.0,839119758.0,353889572.0,195324537.0,131764310.0,173827040.0,114488719.0,87963487.0,260352845.0,260355130.0,335715643.0,235270715.0,209274165.0,189755538.0,-0.05627090546130271
2022-07-01,0,0.0,0.0,1.0,0.0,0.0,0,2022-05-23,29003676.0,14184287155.0,489.5,492.5,485.5,486.5,1.0,43609.0,-12.386738518811853,-8.709110702467767,-3.6776278163440868,24.964050335806263,16.87748783777154,40.92820545151888,1.1111111111109462,4.679487179487039,32.84096510431504,-6.733764677689911,465.0,53.0,6482595.0,551.0,31889.0,32028.0,0.0,52.0,1.0,6482595.0,133.0,401.0,321.0,7286121405.0,18644259053.0,28.09,71.9,25930380458.0,0.0,843915.0,450793.0,49598.0,16036.0,7526.0,7141.0,3327.0,1973.0,3722.0,1897.0,1192.0,482.0,305.0,209.0,-0.0,0.57,3.3,1.39,0.76,0.51,0.67,0.44,0.34,1.0,1.01,1.29,0.9,0.81,0.72,-9999.0,150188167.0,855717322.0,360591735.0,198524258.0,133339473.0,175435226.0,115807206.0,89107325.0,260308677.0,263304918.0,335310743.0,234331954.0,212380371.0,188020166.0,-0.029369199458805034
2022-07-08,23403471,0.0,0.0,0.0,1.0,0.0,19319172,2022-05-23,72597018.0,33459624760.0,471.5,474.0,452.5,453.5,-22.5,172267.0,-15.324656024731723,-11.623810594691037,-3.700845430040687,27.07814785767433,16.64917209220473,51.44080294259822,4.691601049868602,11.71493914137912,26.084629461194986,-10.402054726859621,2137.0,167.0,6482595.0,2553.0,31056.0,31639.0,22.0,73.0,5.0,6482595.0,307.0,602.0,373.0,7316403790.0,18613976668.0,28.21,71.78,25930380458.0,0.0,846187.0,450965.0,49717.0,16105.0,7522.0,7182.0,3313.0,1978.0,3729.0,1895.0,1193.0,474.0,317.0,200.0,-0.0,0.58,3.3,1.39,0.76,0.51,0.68,0.44,0.34,1.0,1.01,1.29,0.88,0.85,0.69,-18000.0,151264733.0,856702532.0,361490190.0,199327082.0,133279990.0,176460583.0,115326822.0,89393412.0,260817703.0,262789297.0,334931401.0,229674191.0,220505583.0,179802010.0,-0.07024163207086845
2022-07-15,0,0.0,0.0,1.0,0.0,0.0,0,2022-05-23,39134398.0,18251251558.0,470.0,470.5,461.5,467.0,9.5,46039.0,-19.647856271273668,-17.398829967929753,-2.249026303343914,33.501897287573385,22.48689124518287,39.51825387908137,27.853881278538648,17.255322660504895,41.262465046865564,-3.5024279367703257,732.0,164.0,6482595.0,1383.0,28517.0,29332.0,11.0,89.0,0.0,6482595.0,206.0,1058.0,941.0,7294446730.0,18635933728.0,28.13,71.86,25930380458.0,0.0,849802.0,449791.0,49829.0,16090.0,7525.0,7146.0,3353.0,1982.0,3700.0,1893.0,1180.0,483.0,320.0,196.0,-0.0,0.59,3.3,1.39,0.76,0.51,0.67,0.45,0.34,0.99,1.01,1.27,0.89,0.85,0.68,-3000.0,153063132.0,856087175.0,362231494.0,199281720.0,133270091.0,175547757.0,116772918.0,89682878.0,258952563.0,263067425.0,330076693.0,233101959.0,222411793.0,176735497.0,0.029333988113706088
2022-07-22,20792473,0.0,0.0,0.0,1.0,0.0,14404836,2022-05-23,56039339.0,27285128552.0,481.0,494.0,477.0,492.5,17.5,63691.0,-11.7436039031615,-16.043422686697344,4.299818783535844,28.78224196161729,31.752323299435158,30.2078646467396,65.90335991276477,49.2128399100387,53.255478184347794,3.8865158466487393,1620.0,38.0,6482595.0,1983.0,28959.0,29360.0,20.0,193.0,0.0,6482595.0,342.0,1157.0,1008.0,7281844422.0,18648536036.0,28.08,71.91,25930380458.0,1392370.0,848795.0,448726.0,49607.0,16011.0,7524.0,7123.0,3334.0,1968.0,3710.0,1900.0,1178.0,478.0,319.0,195.0,100.0,0.58,3.29,1.39,0.76,0.51,0.67,0.44,0.34,1.0,1.01,1.27,0.88,0.85,0.68,25930380458.0,152857654.0,853232032.0,360634426.0,198232379.0,133198080.0,175069299.0,116139938.0,89005986.0,259840165.0,263554777.0,329699411.0,230424269.0,221864569.0,176346025.0,0.05316520294324623
2022-07-29,23663874,0.0,0.0,0.0,1.0,0.0,15203951,2022-05-23,26904474.0,13525083791.0,505.0,505.0,500.0,503.0,2.0,26122.0,-1.1661104613721136,-8.049326251410845,6.883215790038731,23.273422009396523,34.33045037299441,24.66572172138747,94.31216931216916,92.19347846574294,56.85496835292905,5.922611213477231,320.0,101.0,6482595.0,1092.0,27383.0,28256.0,1.0,55.0,0.0,6482595.0,243.0,1347.0,1159.0,7272170803.0,18658209655.0,28.04,71.95,25930380458.0,1387447.0,845981.0,446798.0,49410.0,15995.0,7502.0,7146.0,3343.0,1968.0,3731.0,1906.0,1171.0,485.0,311.0,192.0,100.0,0.58,3.27,1.38,0.76,0.51,0.67,0.44,0.34,1.0,1.01,1.26,0.9,0.83,0.66,25930380458.0,152305982.0,849293464.0,359234898.0,198110258.0,132846291.0,175681042.0,116393342.0,89014366.0,261269438.0,264464852.0,328090694.0,234185053.0,216350681.0,172288235.0,0.021095709487595544
